MOLECULE_ID;SMILES;CELL_LINE;TEST_TYPE;RACEMAT;R;S;RR;SS;RS;SR;CIS;TRANS;INDOLE;IC50;Source;Reference
US202311795164B1_119;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)C(F)(F)F;0;Luminescence;0;0;1;0;0;0;0;0;0;0;3.06;patent;US202311795164B1
US202311795164B1_120;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CN=C2)C3=CC=C(C=C3)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;67.9;patent;US202311795164B1
US202311795164B1_121;CC(C)(C(C(F)(F)F)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)Cl)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;2.54;patent;US202311795164B1
US202311795164B1_127;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)F)C(=O)N[C@H](CO)C(F)(F)F;0;Luminescence;0;1;0;0;0;0;0;0;0;0;4.17;patent;US202311795164B1
US202311795164B1_128;C1=CC(=CC=C1C2=NN(C(=O)C(=C2)C(=O)NC[C@@H](C(F)(F)F)O)C3=CC(=CN=C3)F)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;5.05;patent;US202311795164B1
US202311795164B1_129;C1C[C@@H]([C@@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CC(=CN=C3)F)C4=CC=C(C=C4)Cl;0;Luminescence;0;0;0;0;0;1;0;0;0;0;5.53;patent;US202311795164B1
US202311795164B1_130;C1C[C@@H]([C@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)Cl;0;Luminescence;0;0;0;0;1;0;0;0;0;0;6.54;patent;US202311795164B1
US202311795164B1_131;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)NC[C@@H](C(F)(F)F)O;0;Luminescence;0;0;1;0;0;0;0;0;0;0;6.23;patent;US202311795164B1
US202311795164B1_132;C1C[C@@H]([C@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)OC(F)(F)F;0;Luminescence;0;0;0;0;1;0;0;0;0;0;6.88;patent;US202311795164B1
US202311795164B1_133;C1CCC(C(C1)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)Cl)O;0;Luminescence;1;0;0;0;0;0;0;1;0;0;7.52;patent;US202311795164B1
US202311795164B1_134;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)N[C@H](CO)C(F)(F)F;0;Luminescence;0;1;0;0;0;0;0;0;0;0;7.68;patent;US202311795164B1
US202311795164B1_135;CC(C)(C(C(F)(F)F)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)OC(F)(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;7.91;patent;US202311795164B1
US202311795164B1_138;C1C[C@H]([C@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)Cl;0;Luminescence;0;0;0;0;0;1;0;0;0;0;9.04;patent;US202311795164B1
